mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
0c:1d:af:d3:4c:fa,2015-12-30 17:43:50,-40,-60,-64,D,BeijingX
0c:41:3e:cd:4a:d4,2015-12-30 17:37:40,-70,-100,-100,F,
0c:41:3e:cd:4a:d4,2015-12-30 17:40:00,-56,-56,-56,E,
0c:41:3e:cd:4a:d4,2015-12-30 17:44:00,-70,-100,-100,F,
0c:96:bf:f9:2a:0c,2015-12-30 17:47:10,-100,-62,-100,F,HuaweiTe
0c:96:bf:f9:2a:0c,2015-12-30 17:47:20,-100,-54,-100,F,HuaweiTe
0c:d6:bd:f8:6b:e2,2015-12-30 17:57:30,-44,-76,-40,A,
0c:d6:bd:f8:6b:e2,2015-12-30 17:57:40,-100,-72,-100,F,
0c:d6:bd:f8:6b:e2,2015-12-30 17:57:50,-80,-66,-100,F,
0c:d6:bd:f8:6b:e2,2015-12-30 17:58:10,-100,-66,-100,F,
0e:16:c4:76:2d:e3,2015-12-30 17:42:20,-70,-100,-100,F,
0e:16:c4:76:2d:e3,2015-12-30 17:43:10,-72,-100,-100,F,
10:2a:b3:c3:96:bb,2015-12-30 17:46:50,-100,-70,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:32:20,-100,-70,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:33:10,-100,-64,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:33:30,-100,-74,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:40:10,-100,-68,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:48:40,-100,-74,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:49:20,-100,-64,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:49:30,-100,-66,-100,F,
10:f6:81:e1:1c:d1,2015-12-30 17:49:50,-100,-74,-100,F,
14:1a:a3:d4:3c:19,2015-12-30 17:39:30,-70,-100,-100,F,
14:1a:a3:db:28:b4,2015-12-30 17:34:40,-74,-100,-100,F,
14:1a:a3:db:28:b4,2015-12-30 17:43:50,-78,-100,-100,F,
14:1a:a3:db:29:3c,2015-12-30 17:30:30,-100,-44,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:30:50,-100,-42,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:31:20,-100,-44,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:31:40,-100,-44,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:33:30,-100,-42,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:34:00,-100,-44,-54,F,
14:1a:a3:db:29:3c,2015-12-30 17:34:10,-100,-44,-54,F,
14:1a:a3:db:29:3c,2015-12-30 17:34:30,-100,-44,-50,F,
14:1a:a3:db:29:3c,2015-12-30 17:35:00,-100,-44,-54,F,
14:1a:a3:db:29:3c,2015-12-30 17:37:00,-100,-44,-54,F,
14:1a:a3:db:29:3c,2015-12-30 17:37:50,-100,-44,-54,F,
14:1a:a3:db:29:3c,2015-12-30 17:38:20,-100,-100,-48,A,
14:1a:a3:db:29:3c,2015-12-30 17:42:40,-100,-42,-48,F,
14:1a:a3:db:29:3c,2015-12-30 17:45:30,-46,-44,-44,C,
14:1a:a3:db:29:3c,2015-12-30 17:47:20,-48,-46,-50,C,
14:1a:a3:db:29:3c,2015-12-30 17:48:10,-46,-46,-46,C,
14:1a:a3:db:29:3c,2015-12-30 17:48:40,-50,-52,-100,F,
14:1a:a3:db:29:3c,2015-12-30 17:50:10,-38,-44,-44,C,
14:1a:a3:db:29:3c,2015-12-30 17:50:20,-48,-50,-38,A,
14:1a:a3:db:29:3c,2015-12-30 17:50:40,-42,-52,-40,B,
14:1a:a3:db:29:3c,2015-12-30 17:50:50,-44,-46,-56,F,
14:1a:a3:db:29:3c,2015-12-30 17:51:40,-46,-50,-46,B,
14:1a:a3:db:29:3c,2015-12-30 17:52:50,-44,-56,-44,C,
14:1a:a3:db:29:3c,2015-12-30 17:53:20,-46,-48,-52,D,
14:1a:a3:db:29:3c,2015-12-30 17:53:40,-48,-50,-100,F,
14:1a:a3:db:29:3c,2015-12-30 17:53:50,-54,-52,-44,A,
14:1a:a3:db:29:3c,2015-12-30 17:54:30,-50,-48,-62,E,
14:1a:a3:db:29:3c,2015-12-30 17:54:50,-48,-48,-50,C,
14:1a:a3:db:29:3c,2015-12-30 17:57:10,-46,-50,-100,F,
14:1a:a3:db:29:3c,2015-12-30 17:58:10,-50,-56,-100,F,
14:1a:a3:db:29:3c,2015-12-30 17:58:50,-48,-46,-46,C,
14:1a:a3:db:29:3c,2015-12-30 17:59:30,-46,-46,-48,C,
14:1a:a3:db:29:3c,2015-12-30 17:59:50,-48,-46,-52,C,
14:1a:a3:db:32:14,2015-12-30 17:40:20,-52,-100,-48,A,
14:1a:a3:db:32:14,2015-12-30 17:40:50,-48,-100,-54,A,
